Date,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
05/11/2023,27607.86604,35062.06,27858.212,35380,27124.3552,34448,27568.35431,35011.88,24528.73376,24528.73376
04/11/2023,27335.99257,34716.78,27759.787,35255,27232.37073,34585.18,27607.87392,35062.07,18377.55545,18377.55545
03/11/2023,27513.00009,34941.58,27516.8741,34946.5,26866.088,34120,27335.99257,34716.78,39071.20644,39071.20644
02/11/2023,27890.83398,35421.43,28334.58113,35984.99,27007.82,34300,27513.00797,34941.59,48015.57732,48015.57732
01/11/2023,27275.36277,34639.78,28017.2668,35582,26848.28489,34097.39,27890.83398,35421.43,53473.28165,53473.28165
31/10/2023,27145.41028,34474.74,27338.91383,34720.49,26791.285,34025,27275.3549,34639.77,32737.89822,32737.89822
30/10/2023,27185.67791,34525.88,27445.6144,34856,26821.08022,34062.84,27145.4024,34474.73,33657.95976,33657.95976
29/10/2023,26835.38727,34081.01,27362.23661,34750.11,26716.482,33930,27185.68579,34525.89,20685.52176,20685.52176
28/10/2023,26686.56867,33892.01,27160.04804,34493.33,26661.364,33860,26835.3794,34081,16880.13144,16880.13144
27/10/2023,26891.01708,34151.66,26964.513,34245,26292.03403,33390.95,26686.57655,33892.02,32330.40106,32330.40106
26/10/2023,27162.18977,34496.05,27420.51996,34824.13,26575.5374,33751,26891.01708,34151.66,39744.66255,39744.66255
25/10/2023,26710.7576,33922.73,27663.60609,35132.85,26518.88397,33679.05,27162.18977,34496.05,54887.02529,54887.02529
24/10/2023,26039.31013,33069.99,27779.472,35280,25852.18452,32832.34,26710.7576,33922.73,115265.0242,115265.0242
23/10/2023,23616.063,29992.46,27355.77993,34741.91,23530.34664,29883.6,26039.31013,33069.99,93513.64246,93513.64246
22/10/2023,23550.97652,29909.8,23817.2752,30248,23338.536,29640,23616.063,29992.46,22852.54563,22852.54563
21/10/2023,23361.40997,29669.05,23921.20413,30379.99,23200.5599,29464.77,23550.97652,29909.8,27517.51897,27517.51897
20/10/2023,22609.17525,28713.71,23785.42487,30207.55,22502.54555,28578.29,23361.4021,29669.04,59422.0992,59422.0992
19/10/2023,22299.168,28320,22769.15919,28916.89,22126.45968,28100.66,22609.17525,28713.71,35895.50179,35895.50179
18/10/2023,22358.93953,28395.91,22820.71026,28982.36,22159.69584,28142.87,22299.168,28320,32162.47591,32162.47591
17/10/2023,22441.5063,28500.77,22530.38801,28613.65,22101.78257,28069.32,22358.93953,28395.91,38428.44532,38428.44532
16/10/2023,21381.16984,27154.14,23622,30000,21348.50848,27112.66,22441.51417,28500.78,78399.22445,78399.22445
15/10/2023,21143.64275,26852.48,21490.76804,27293.33,21108.81605,26808.25,21381.17771,27154.15,15274.6917,15274.6917
14/10/2023,21151.1388,26862,21251.59529,26989.58,21093.6586,26789,21143.64275,26852.48,10417.25576,10417.25576
13/10/2023,21070.53266,26759.63,21362.162,27130,21011.769,26685,21151.1388,26862,24115.76499,24115.76499
12/10/2023,21161.78445,26875.52,21218.0993,26947.04,20909.407,26555,21070.53266,26759.63,23428.64112,23428.64112
11/10/2023,21566.98049,27390.12,21635.69689,27477.39,20896.54088,26538.66,21161.78445,26875.52,37349.44706,37349.44706
10/10/2023,21724.46049,27590.12,21838.539,27735,21494.4452,27298,21566.98049,27390.12,22776.84383,22776.84383
09/10/2023,21981.89304,27917.06,22037.69608,27987.93,21464.524,27260,21724.46049,27590.12,31534.74639,31534.74639
08/10/2023,22013.08196,27956.67,22122.11324,28095.14,21801.1375,27687.5,21981.88517,27917.05,19693.56921,19693.56921
07/10/2023,21992.94814,27931.1,22070.56216,28029.67,21922.85379,27842.08,22013.08196,27956.67,13348.83825,13348.83825
06/10/2023,21582.94109,27410.39,22279.483,28295,21398.33516,27175.94,21992.94027,27931.09,37983.24277,37983.24277
05/10/2023,21872.84602,27778.57,22141.99509,28120.39,21536.9648,27352,21582.94109,27410.39,30681.49619,30681.49619
04/10/2023,21595.58673,27426.45,21920.99553,27839.72,21418.8548,27202,21872.84602,27778.57,29816.142,29816.142
03/10/2023,21649.17717,27494.51,21792.49185,27676.52,21386.1777,27160.5,21595.5946,27426.46,28928.96555,28928.96555
02/10/2023,22041.35749,27992.58,22503.892,28580,21481.40586,27281.44,21649.17717,27494.51,57071.14241,57071.14241
01/10/2023,21230.32762,26962.57,22098.78257,28065.51,21223.65047,26954.09,22041.34962,27992.57,24602.81468,24602.81468
30/09/2023,21186.5403,26906.96,21334.59513,27094.99,21170.28049,26886.31,21230.31974,26962.56,12804.62307,12804.62307
29/09/2023,21276.64249,27021.39,21452.62639,27244.89,20996.14698,26665.16,21186.5403,26906.96,28478.76219,28478.76219
28/09/2023,20766.1002,26373,21502.69715,27308.48,20742.00576,26342.4,21276.64249,27021.39,44517.83491,44517.83491
27/09/2023,20646.95083,26221.68,21141.69,26850,20560.63604,26112.06,20766.09233,26372.99,34771.57978,34771.57978
26/09/2023,20712.39952,26304.8,20785.36,26397.46,20541.95892,26088.34,20646.94296,26221.67,18495.35066,18495.35066
25/09/2023,20667.98229,26248.39,20823.69851,26446.15,20464.8882,25990.46,20712.40739,26304.81,26266.2039,26266.2039
24/09/2023,20925.91878,26575.97,21053.9264,26738.54,20568.52579,26122.08,20667.97441,26248.38,15706.65771,15706.65771
23/09/2023,20929.20224,26580.14,20970.67459,26632.81,20873.1866,26509,20925.9109,26575.96,9440.7026,9440.7026
22/09/2023,20919.70619,26568.08,21057.73741,26743.38,20841.5095,26468.77,20929.20224,26580.14,18198.2292,18198.2292
21/09/2023,21358.23287,27125.01,21385.46904,27159.6,20769.80098,26377.7,20919.70619,26568.08,34476.82662,34476.82662
20/09/2023,21425.35085,27210.25,21565.80726,27388.63,21102.32,26800,21358.225,27125,34207.21867,34207.21867
19/09/2023,21072.7925,26762.5,21640.56302,27483.57,20998.21785,26667.79,21425.35872,27210.26,36190.52187,36190.52187
18/09/2023,20887.7535,26527.5,21581.8466,27409,20769.52539,26377.35,21072.80037,26762.51,43000.43256,43000.43256
17/09/2023,20913.08416,26559.67,20963.14705,26623.25,20786.5726,26399,20887.76137,26527.51,12998.10277,12998.10277
16/09/2023,20944.83213,26599.99,21084.2098,26777,20822.793,26445,20913.08416,26559.67,13960.93351,13960.93351
15/09/2023,20883.9976,26522.73,21171.6112,26888,20648.7776,26224,20944.84,26600,26227.29369,26227.29369
14/09/2023,20647.2028,26222,21149.94983,26860.49,20572.2187,26126.77,20883.9976,26522.73,38333.1725,38333.1725
13/09/2023,20346.49474,25840.1,20791.47023,26405.22,20286.70746,25764.17,20647.2028,26222,31610.82753,31610.82753
12/09/2023,19812.97612,25162.53,20918.8558,26567,19788.52735,25131.48,20346.49474,25840.1,56434.38537,56434.38537
11/09/2023,20347.67584,25841.6,20394.20331,25900.69,19607.0474,24901,19812.96825,25162.52,41682.32,41682.32
10/09/2023,20394.91984,25901.6,20498.90388,26033.66,20134.26682,25570.57,20347.68371,25841.61,18738.26914,18738.26914
09/09/2023,20401.9277,25910.5,20429.16387,25945.09,20312.27434,25796.64,20394.92771,25901.61,10980.62277,10980.62277
08/09/2023,20673.187,26255,20823.1867,26445.5,20194.65252,25647.26,20401.9277,25910.5,28999.76471,28999.76471
07/09/2023,20283.38463,25759.95,20821.32844,26443.14,20169.55021,25615.38,20673.187,26255,27687.49567,27687.49567
